Date,NDVI,sensor,region
24-Apr-17,0.469,sl2,bb polygons
24-Apr-17,0.484,sl2,bb polygons
13-Jun-17,0.727,sl2,bb polygons
13-Jun-17,0.807,sl2,bb polygons
13-Jun-17,0.865,sl2,bb polygons
20-Jun-17,0.675,sl2,bb polygons
20-Jun-17,0.679,sl2,bb polygons
20-Jun-17,0.841,sl2,bb polygons
2-Aug-17,0.769,sl2,bb polygons
2-Aug-17,0.915,sl2,bb polygons
2-Aug-17,0.862,sl2,bb polygons
22-Aug-17,0.707,sl2,bb polygons
22-Aug-17,0.805,sl2,bb polygons
29-Aug-17,0.722,sl2,bb polygons
29-Aug-17,0.902,sl2,bb polygons
29-Aug-17,0.85,sl2,bb polygons
21-Sep-17,0.792,sl2,bb polygons
18-Oct-17,0.984,sl2,bb polygons
31-Oct-17,0.856,sl2,bb polygons
31-Oct-17,0.405,sl2,bb polygons
27-Nov-17,0.77,sl2,bb polygons
27-Nov-17,0.768,sl2,bb polygons
7-Dec-17,0.249,sl2,bb polygons
20-Dec-17,0.817,sl2,bb polygons
20-Dec-17,0.065,sl2,bb polygons
25-Dec-17,0.832,sl2,bb polygons
25-Dec-17,-0.295,sl2,bb polygons
25-Dec-17,0.406,sl2,bb polygons
29-Jan-18,0.821,sl2,bb polygons
29-Jan-18,-0.058,sl2,bb polygons
29-Jan-18,-0.252,sl2,bb polygons
29-Jan-18,0.068,sl2,bb polygons
31-Jan-18,0.098,sl2,bb polygons
10-Feb-18,0.525,sl2,bb polygons
10-Feb-18,-0.177,sl2,bb polygons
22-Mar-18,0.66,sl2,bb polygons
22-Mar-18,-0.065,sl2,bb polygons
6-Apr-18,0.566,sl2,bb polygons
6-Apr-18,0.418,sl2,bb polygons
14-Apr-18,0.634,sl2,bb polygons
19-Apr-18,0.686,sl2,bb polygons
19-Apr-18,0.227,sl2,bb polygons
19-Apr-18,0.838,sl2,bb polygons
19-Apr-18,0.376,sl2,bb polygons
21-Apr-18,0.647,sl2,bb polygons
21-Apr-18,0.855,sl2,bb polygons
21-Apr-18,0.374,sl2,bb polygons
6-May-18,0.605,sl2,bb polygons
6-May-18,0.693,sl2,bb polygons
6-May-18,0.686,sl2,bb polygons
26-May-18,0.634,sl2,bb polygons
26-May-18,0.896,sl2,bb polygons
30-Jun-18,0.528,sl2,bb polygons
15-Jul-18,0.64,sl2,bb polygons
28-Jul-18,0.705,sl2,bb polygons
28-Jul-18,0.897,sl2,bb polygons
30-Jul-18,0.677,sl2,bb polygons
30-Jul-18,0.573,sl2,bb polygons
4-Aug-18,0.658,sl2,bb polygons
4-Aug-18,0.637,sl2,bb polygons
4-Aug-18,0.81,sl2,bb polygons
7-Aug-18,0.729,sl2,bb polygons
7-Aug-18,0.792,sl2,bb polygons
9-Aug-18,0.768,sl2,bb polygons
9-Aug-18,0.805,sl2,bb polygons
12-Aug-18,0.626,sl2,bb polygons
17-Aug-18,0.694,sl2,bb polygons
17-Aug-18,0.855,sl2,bb polygons
17-Aug-18,0.569,sl2,bb polygons
19-Aug-18,0.521,sl2,bb polygons
19-Aug-18,0.859,sl2,bb polygons
19-Aug-18,0.758,sl2,bb polygons
22-Aug-18,0.583,sl2,bb polygons
22-Aug-18,0.127,sl2,bb polygons
22-Aug-18,0.749,sl2,bb polygons
27-Aug-18,0.762,sl2,bb polygons
27-Aug-18,0.564,sl2,bb polygons
27-Aug-18,0.904,sl2,bb polygons
27-Aug-18,0.677,sl2,bb polygons
8-Sep-18,0.718,sl2,bb polygons
13-Sep-18,0.641,sl2,bb polygons
16-Sep-18,0.566,sl2,bb polygons
18-Sep-18,0.681,sl2,bb polygons
18-Sep-18,0.806,sl2,bb polygons
18-Sep-18,0.688,sl2,bb polygons
21-Sep-18,0.767,sl2,bb polygons
21-Sep-18,0.635,sl2,bb polygons
21-Sep-18,0.857,sl2,bb polygons
21-Sep-18,0.683,sl2,bb polygons
26-Sep-18,0.784,sl2,bb polygons
26-Sep-18,0.577,sl2,bb polygons
26-Sep-18,0.88,sl2,bb polygons
26-Sep-18,0.642,sl2,bb polygons
28-Sep-18,0.653,sl2,bb polygons
28-Sep-18,0.874,sl2,bb polygons
28-Sep-18,0.645,sl2,bb polygons
11-Oct-18,0.774,sl2,bb polygons
11-Oct-18,0.639,sl2,bb polygons
11-Oct-18,0.818,sl2,bb polygons
11-Oct-18,0.614,sl2,bb polygons
13-Oct-18,0.779,sl2,bb polygons
13-Oct-18,0.572,sl2,bb polygons
16-Oct-18,0.438,sl2,bb polygons
16-Oct-18,0.556,sl2,bb polygons
18-Oct-18,0.562,sl2,bb polygons
21-Oct-18,0.694,sl2,bb polygons
26-Oct-18,0.971,sl2,bb polygons
26-Oct-18,0.516,sl2,bb polygons
10-Nov-18,0.428,sl2,bb polygons
10-Nov-18,0.568,sl2,bb polygons
