Date,NDVI,sensor,region
6-Aug-88,0.769,ls4,bb polygons
15-Aug-88,0.784,ls4,bb polygons
15-Aug-88,0.791,ls4,bb polygons
7-Sep-88,0.761,ls4,bb polygons
19-Sep-89,0.554,ls4,bb polygons
19-Sep-89,0.564,ls4,bb polygons
25-Jun-90,0.736,ls4,bb polygons
11-Jul-90,0.771,ls4,bb polygons
27-Jul-90,0.781,ls4,bb polygons
1-Aug-92,0.75,ls4,bb polygons
17-Aug-92,0.661,ls4,bb polygons
18-Sep-92,0.596,ls4,bb polygons
24-May-84,0.437,ls5,bb polygons
11-Jul-84,0.605,ls5,bb polygons
11-Jul-84,0.737,ls5,bb polygons
4-Sep-84,0.703,ls5,bb polygons
20-Sep-84,0.581,ls5,bb polygons
29-Sep-84,0.69,ls5,bb polygons
15-Oct-84,0.623,ls5,bb polygons
15-Oct-84,0.611,ls5,bb polygons
31-Oct-84,0.576,ls5,bb polygons
31-Oct-84,0.582,ls5,bb polygons
9-Dec-84,0.076,ls5,bb polygons
10-Jan-85,0.012,ls5,bb polygons
19-Jan-85,0.022,ls5,bb polygons
16-Apr-85,0.296,ls5,bb polygons
25-Apr-85,0.472,ls5,bb polygons
19-Jun-85,0.678,ls5,bb polygons
22-Aug-85,0.796,ls5,bb polygons
7-Sep-85,0.717,ls5,bb polygons
23-Sep-85,0.681,ls5,bb polygons
18-Oct-85,0.619,ls5,bb polygons
18-Oct-85,0.613,ls5,bb polygons
25-Oct-85,0.611,ls5,bb polygons
14-Feb-86,0.021,ls5,bb polygons
23-Feb-86,-0.003,ls5,bb polygons
18-Mar-86,-0.016,ls5,bb polygons
19-Apr-86,0.293,ls5,bb polygons
14-May-86,0.746,ls5,bb polygons
14-May-86,0.764,ls5,bb polygons
21-May-86,0.746,ls5,bb polygons
17-Jul-86,0.756,ls5,bb polygons
2-Aug-86,0.767,ls5,bb polygons
9-Aug-86,0.759,ls5,bb polygons
25-Aug-86,0.701,ls5,bb polygons
3-Sep-86,0.764,ls5,bb polygons
3-Sep-86,0.76,ls5,bb polygons
12-Oct-86,0.606,ls5,bb polygons
28-Oct-86,0.316,ls5,bb polygons
13-Nov-86,0.524,ls5,bb polygons
29-Nov-86,0.321,ls5,bb polygons
1-Feb-87,0.006,ls5,bb polygons
5-Mar-87,0.005,ls5,bb polygons
14-Mar-87,0.024,ls5,bb polygons
6-Apr-87,0.254,ls5,bb polygons
8-May-87,0.708,ls5,bb polygons
24-May-87,0.715,ls5,bb polygons
4-Jul-87,0.681,ls5,bb polygons
4-Jul-87,0.683,ls5,bb polygons
11-Jul-87,0.777,ls5,bb polygons
20-Jul-87,0.774,ls5,bb polygons
20-Jul-87,0.774,ls5,bb polygons
27-Jul-87,0.672,ls5,bb polygons
21-Aug-87,0.773,ls5,bb polygons
21-Aug-87,0.791,ls5,bb polygons
28-Aug-87,0.822,ls5,bb polygons
13-Sep-87,0.721,ls5,bb polygons
22-Sep-87,0.703,ls5,bb polygons
29-Sep-87,0.748,ls5,bb polygons
