Date,NDVI,Sensor,Region
22-Aug-85,0.193,ls5,roi
29-Jan-86,-0.101,ls5,roi
14-Feb-86,-0.162,ls5,roi
28-Oct-86,-0.103,ls5,roi
1-Feb-87,-0.13,ls5,roi
19-Jan-88,-0.194,ls5,roi
21-Jan-89,-0.155,ls5,roi
10-Mar-89,-0.05,ls5,roi
13-Oct-89,-0.148,ls5,roi
14-Nov-89,-0.197,ls5,roi
25-Feb-90,-0.197,ls5,roi
13-Mar-90,-0.068,ls5,roi
22-Mar-90,-0.061,ls5,roi
19-Jul-90,0.119,ls5,roi
30-Sep-90,0.125,ls5,roi
23-Oct-90,-0.055,ls5,roi
16-Mar-91,-0.066,ls5,roi
10-Oct-91,0.076,ls5,roi
8-Feb-92,-0.089,ls5,roi
2-Mar-92,-0.112,ls5,roi
6-Nov-92,-0.126,ls5,roi
21-Mar-93,-0.076,ls5,roi
11-Mar-95,-0.129,ls5,roi
21-Oct-95,0.417,ls5,roi
7-Oct-96,-0.117,ls5,roi
21-Feb-97,-0.034,ls5,roi
19-Oct-97,-0.03,ls5,roi
6-Dec-97,-0.114,ls5,roi
7-Jan-98,-0.136,ls5,roi
30-Jan-98,-0.116,ls5,roi
29-Oct-98,-0.07,ls5,roi
22-Sep-99,0.15,ls7,roi
2-Nov-99,-0.035,ls7,roi
25-Nov-99,-0.079,ls7,roi
12-Jan-00,-0.165,ls7,roi
28-Jan-00,-0.116,ls7,roi
29-Jan-00,-0.139,ls5,roi
6-Feb-00,-0.15,ls7,roi
29-Feb-00,-0.069,ls7,roi
26-Oct-00,0.017,ls7,roi
11-Nov-00,-0.14,ls7,roi
6-Dec-00,-0.227,ls7,roi
21-Dec-00,-0.185,ls5,roi
22-Dec-00,-0.2,ls7,roi
15-Feb-01,-0.136,ls7,roi
12-Mar-01,-0.084,ls7,roi
3-Aug-01,0.193,ls7,roi
9-Dec-01,-0.15,ls7,roi
16-Dec-01,-0.158,ls7,roi
10-Jan-02,-0.1,ls7,roi
18-Jan-02,-0.125,ls5,roi
3-Feb-02,-0.166,ls5,roi
21-Jul-02,0.196,ls7,roi
30-Sep-02,-0.051,ls7,roi
12-Dec-02,-0.198,ls7,roi
19-Dec-02,-0.153,ls7,roi
14-Feb-03,-0.138,ls7,roi
21-Feb-03,-0.156,ls7,roi
25-Mar-03,-0.068,ls7,roi
28-Oct-03,-0.15,ls7,roi
20-Nov-03,-0.196,ls7,roi
6-Dec-03,-0.183,ls7,roi
23-Jan-04,-0.122,ls7,roi
25-Feb-04,-0.127,ls5,roi
12-Mar-04,-0.053,ls5,roi
8-Dec-04,-0.222,ls7,roi
16-Dec-04,-0.162,ls5,roi
10-Jan-05,-0.126,ls5,roi
17-Jan-05,-0.216,ls5,roi
10-Feb-05,-0.135,ls7,roi
18-Feb-05,-0.092,ls5,roi
19-Feb-05,-0.154,ls7,roi
26-Feb-05,-0.159,ls7,roi
11-Jun-05,0.501,ls7,roi
29-Jul-05,0.211,ls7,roi
17-Oct-05,0.124,ls7,roi
5-Feb-06,-0.122,ls5,roi
14-Feb-06,-0.079,ls5,roi
21-Feb-06,-0.087,ls5,roi
10-Sep-06,0.196,ls5,roi
15-Dec-06,-0.21,ls5,roi
23-Dec-06,-0.145,ls7,roi
8-Jan-07,-0.158,ls7,roi
17-Feb-07,-0.16,ls5,roi
5-Mar-07,-0.055,ls5,roi
12-Mar-07,-0.057,ls5,roi
18-Jul-07,0.151,ls5,roi
27-Aug-07,0.194,ls7,roi
26-Dec-07,-0.161,ls7,roi
12-Feb-08,-0.155,ls7,roi
19-Feb-08,-0.166,ls7,roi
29-Aug-08,0.205,ls7,roi
28-Dec-08,-0.145,ls7,roi
5-Feb-09,-0.122,ls7,roi
4-Oct-09,0.165,ls5,roi
20-Oct-09,-0.107,ls5,roi
27-Oct-09,-0.145,ls5,roi
21-Nov-09,-0.168,ls5,roi
9-Feb-10,-0.087,ls5,roi
16-Feb-10,-0.146,ls5,roi
29-Apr-10,-0.082,ls7,roi
14-Oct-10,0.102,ls5,roi
22-Oct-10,-0.134,ls7,roi
30-Oct-10,-0.146,ls5,roi
7-Mar-11,-0.059,ls5,roi
23-Mar-11,-0.052,ls5,roi
22-Aug-11,0.229,ls7,roi
23-Aug-11,0.187,ls5,roi
16-Sep-11,0.169,ls7,roi
24-Sep-11,-0.06,ls5,roi
1-Oct-11,0.117,ls5,roi
2-Oct-11,0.13,ls7,roi
3-Nov-11,-0.169,ls7,roi
10-Nov-11,-0.006,ls7,roi
19-Nov-11,-0.175,ls7,roi
28-Dec-11,-0.198,ls7,roi
17-Mar-12,-0.065,ls7,roi
17-Aug-12,0.22,ls7,roi
9-Sep-12,0.131,ls7,roi
20-Oct-12,-0.155,ls7,roi
4-Mar-13,-0.072,ls7,roi
3-Aug-13,0.228,ls8,roi
7-Nov-13,-0.572,ls8,roi
8-Nov-13,-0.155,ls7,roi
1-Dec-13,-0.15,ls7,roi
2-Dec-13,-0.472,ls8,roi
17-Dec-13,-0.199,ls7,roi
7-Mar-14,-0.051,ls7,roi
15-Mar-14,-0.071,ls8,roi
1-Apr-14,-0.067,ls7,roi
25-Apr-14,-0.117,ls8,roi
