Date,NDVI,Sensor,Region
24-Apr-17,-0.024,sl2,roi
24-Apr-17,-0.024,sl2,roi
13-Jun-17,0.612,sl2,roi
13-Jun-17,0.368,sl2,roi
13-Jun-17,0.68,sl2,roi
13-Jun-17,-0.053,sl2,roi
20-Jun-17,0.805,sl2,roi
2-Aug-17,0.711,sl2,roi
2-Aug-17,0.844,sl2,roi
2-Aug-17,0.313,sl2,roi
22-Aug-17,0.697,sl2,roi
22-Aug-17,0.743,sl2,roi
29-Aug-17,0.697,sl2,roi
29-Aug-17,0.537,sl2,roi
29-Aug-17,0.856,sl2,roi
29-Aug-17,0.342,sl2,roi
18-Oct-17,0.338,sl2,roi
18-Oct-17,0.775,sl2,roi
31-Oct-17,0.625,sl2,roi
31-Oct-17,-0.034,sl2,roi
20-Nov-17,0.38,sl2,roi
27-Nov-17,0.677,sl2,roi
7-Dec-17,-0.114,sl2,roi
20-Dec-17,0.712,sl2,roi
25-Dec-17,-0.057,sl2,roi
25-Dec-17,-0.129,sl2,roi
29-Jan-18,-0.071,sl2,roi
29-Jan-18,-0.036,sl2,roi
29-Jan-18,0.75,sl2,roi
29-Jan-18,-0.127,sl2,roi
31-Jan-18,-0.034,sl2,roi
31-Jan-18,-0.129,sl2,roi
10-Feb-18,-0.035,sl2,roi
10-Feb-18,0.509,sl2,roi
22-Mar-18,0.406,sl2,roi
6-Apr-18,0.582,sl2,roi
14-Apr-18,-0.063,sl2,roi
14-Apr-18,0.494,sl2,roi
19-Apr-18,-0.097,sl2,roi
19-Apr-18,-0.086,sl2,roi
19-Apr-18,0.647,sl2,roi
19-Apr-18,-0.062,sl2,roi
21-Apr-18,-0.073,sl2,roi
21-Apr-18,-0.078,sl2,roi
21-Apr-18,0.642,sl2,roi
21-Apr-18,-0.054,sl2,roi
6-May-18,0.085,sl2,roi
6-May-18,-0.065,sl2,roi
26-May-18,0.134,sl2,roi
26-May-18,0.001,sl2,roi
26-May-18,0.679,sl2,roi
15-Jul-18,0.747,sl2,roi
28-Jul-18,0.78,sl2,roi
30-Jul-18,0.731,sl2,roi
30-Jul-18,0.785,sl2,roi
30-Jul-18,0.229,sl2,roi
4-Aug-18,0.567,sl2,roi
4-Aug-18,0.419,sl2,roi
4-Aug-18,0.321,sl2,roi
7-Aug-18,0.74,sl2,roi
7-Aug-18,0.327,sl2,roi
9-Aug-18,0.772,sl2,roi
9-Aug-18,0.156,sl2,roi
12-Aug-18,0.585,sl2,roi
12-Aug-18,0.209,sl2,roi
17-Aug-18,0.636,sl2,roi
17-Aug-18,0.766,sl2,roi
17-Aug-18,0.193,sl2,roi
19-Aug-18,0.186,sl2,roi
19-Aug-18,0.559,sl2,roi
19-Aug-18,0.751,sl2,roi
22-Aug-18,0.558,sl2,roi
22-Aug-18,0.748,sl2,roi
22-Aug-18,0.209,sl2,roi
27-Aug-18,0.732,sl2,roi
27-Aug-18,-0.053,sl2,roi
27-Aug-18,0.819,sl2,roi
27-Aug-18,-0.029,sl2,roi
8-Sep-18,0.541,sl2,roi
13-Sep-18,0.498,sl2,roi
16-Sep-18,0.502,sl2,roi
16-Sep-18,0.042,sl2,roi
18-Sep-18,0.682,sl2,roi
18-Sep-18,0.499,sl2,roi
18-Sep-18,0.778,sl2,roi
18-Sep-18,0.224,sl2,roi
21-Sep-18,0.722,sl2,roi
21-Sep-18,0.498,sl2,roi
21-Sep-18,0.816,sl2,roi
21-Sep-18,0.229,sl2,roi
26-Sep-18,0.714,sl2,roi
26-Sep-18,0.264,sl2,roi
26-Sep-18,0.836,sl2,roi
26-Sep-18,0.243,sl2,roi
28-Sep-18,0.701,sl2,roi
28-Sep-18,0.484,sl2,roi
28-Sep-18,0.824,sl2,roi
28-Sep-18,0.258,sl2,roi
11-Oct-18,0.678,sl2,roi
11-Oct-18,0.417,sl2,roi
13-Oct-18,0.648,sl2,roi
13-Oct-18,0.404,sl2,roi
13-Oct-18,0.703,sl2,roi
13-Oct-18,0.225,sl2,roi
16-Oct-18,0.404,sl2,roi
16-Oct-18,0.237,sl2,roi
18-Oct-18,0.368,sl2,roi
18-Oct-18,0.208,sl2,roi
21-Oct-18,0.591,sl2,roi
26-Oct-18,0.379,sl2,roi
26-Oct-18,0.279,sl2,roi
10-Nov-18,0.129,sl2,roi
10-Nov-18,0.287,sl2,roi
12-Nov-18,0.11,sl2,roi
12-Nov-18,0.268,sl2,roi
15-Nov-18,0.182,sl2,roi
15-Nov-18,0.266,sl2,roi
15-Nov-18,0.629,sl2,roi
17-Nov-18,-0.027,sl2,roi
17-Nov-18,0.294,sl2,roi
17-Nov-18,0.312,sl2,roi
15-Dec-18,0.267,sl2,roi
15-Dec-18,0.008,sl2,roi
27-Dec-18,-0.132,sl2,roi
27-Dec-18,-0.034,sl2,roi
27-Dec-18,0.622,sl2,roi
1-Jan-19,0.626,sl2,roi
1-Jan-19,0.054,sl2,roi
11-Jan-19,0.624,sl2,roi
5-Feb-19,-0.07,sl2,roi
8-Feb-19,-0.076,sl2,roi
8-Feb-19,-0.011,sl2,roi
8-Feb-19,0.645,sl2,roi
8-Feb-19,-0.028,sl2,roi
13-Feb-19,0.602,sl2,roi
15-Feb-19,-0.102,sl2,roi
18-Feb-19,-0.121,sl2,roi
18-Feb-19,0.68,sl2,roi
23-Feb-19,-0.064,sl2,roi
23-Feb-19,0.632,sl2,roi
25-Feb-19,-0.013,sl2,roi
25-Feb-19,-0.061,sl2,roi
28-Feb-19,-0.037,sl2,roi
28-Feb-19,-0.027,sl2,roi
28-Feb-19,0.675,sl2,roi
28-Feb-19,-0.074,sl2,roi
5-Mar-19,0.018,sl2,roi
12-Mar-19,0.132,sl2,roi
12-Mar-19,0.01,sl2,roi
20-Mar-19,0.571,sl2,roi
22-Mar-19,-0.022,sl2,roi
22-Mar-19,-0.021,sl2,roi
22-Mar-19,0.603,sl2,roi
22-Mar-19,-0.052,sl2,roi
25-Mar-19,-0.076,sl2,roi
30-Mar-19,0.639,sl2,roi
30-Mar-19,-0.052,sl2,roi
19-Apr-19,-0.042,sl2,roi
19-Apr-19,-0.068,sl2,roi
19-Apr-19,0.643,sl2,roi
19-Apr-19,0.072,sl2,roi
21-Apr-19,-0.047,sl2,roi
21-Apr-19,-0.076,sl2,roi
21-Apr-19,0.658,sl2,roi
1-May-19,0.666,sl2,roi
1-May-19,-0.038,sl2,roi
6-May-19,0.409,sl2,roi
24-May-19,-0.085,sl2,roi
24-May-19,-0.093,sl2,roi
24-May-19,0.706,sl2,roi
24-May-19,0.443,sl2,roi
3-Jun-19,-0.09,sl2,roi
3-Jun-19,-0.088,sl2,roi
3-Jun-19,0.744,sl2,roi
3-Jun-19,0.472,sl2,roi
5-Jun-19,-0.073,sl2,roi
5-Jun-19,-0.069,sl2,roi
13-Jun-19,-0.05,sl2,roi
25-Jun-19,-0.05,sl2,roi
25-Jun-19,0.265,sl2,roi
25-Jun-19,0.796,sl2,roi
25-Jun-19,0.683,sl2,roi
28-Jun-19,-0.044,sl2,roi
28-Jun-19,0.351,sl2,roi
28-Jun-19,0.836,sl2,roi
28-Jun-19,0.705,sl2,roi
30-Jun-19,-0.016,sl2,roi
30-Jun-19,0.355,sl2,roi
30-Jun-19,0.812,sl2,roi
30-Jun-19,0.702,sl2,roi
10-Jul-19,0.794,sl2,roi
10-Jul-19,0.721,sl2,roi
20-Jul-19,0.149,sl2,roi
20-Jul-19,0.547,sl2,roi
20-Jul-19,0.802,sl2,roi
20-Jul-19,0.729,sl2,roi
23-Jul-19,0.213,sl2,roi
23-Jul-19,0.55,sl2,roi
23-Jul-19,0.828,sl2,roi
23-Jul-19,0.737,sl2,roi
9-Aug-19,0.323,sl2,roi
9-Aug-19,0.612,sl2,roi
9-Aug-19,0.824,sl2,roi
9-Aug-19,0.741,sl2,roi
